#SampleID	Type	Class1	Class2	Class3	ClassOther
'000002850.1130634'	multipleyear	1	0	0	0
'000001574.1130714'	multipleyear	1	0	0	0
'000004039.1130694'	multipleyear	1	0	0	0
'000001333.1130896'	multipleyear	1	0	0	0
'000001130.1130953'	multipleyear	0	0	0	0
'000001194.1130770'	multipleyear	1	0	0	0
'000002319.1130604'	multipleyear	1	0	0	0
'000002687.1130607'	multipleyear	1	0	0	0
'000001528.1130823'	multipleyear	1	0	0	0
'000003032.1130850'	multipleyear	1	0	0	0
'000001248.1130820'	multipleyear	1	0	0	0
'000003973.1130718'	multipleyear	1	0	0	0
'000002563.1130721'	multipleyear	1	0	0	0
'000002372.1130654'	multipleyear	1	0	0	0
'000004072.1130961'	multipleyear	1	0	0	0
'000001630.1130968'	multipleyear	1	0	0	0
'000001611.1130933'	multipleyear	1	0	0	0
'000002605.1130932'	multipleyear	1	0	0	0
