"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2001,0,14,4538250.3,"DD167",9704686,48043,44038,1,0
2002,0,14,4538251.3,"DD168",9949510,49255,42714,1,0
2003,0,14,4538252.3,"DD169",5133224,25412,22161,1,0
2004,0,14,4538465.3,"ID3",13022738,64469,62478,1,0
2005,0,14,4538476.3,"ID4",14317558,70879,66992,1,0
2006,0,14,4538485.3,"ID5",15174644,75122,68075,1,0
2007,0,14,4538496.3,"ID6",14566624,72112,66770,1,0
2008,0,14,4538501.3,"ID7",10756702,53251,48071,1,0
2009,0,14,4538502.3,"ID8",19948510,98755,94830,1,0
2010,0,14,4538508.3,"ID9",16627832,82316,71136,1,0
2011,0,14,4538375.3,"ID16",12819930,63465,61677,1,0
2012,0,14,4538379.3,"ID17",12238372,60586,58324,1,0
2013,0,14,4538389.3,"ID18",13825688,68444,66004,1,0
2014,0,14,4538411.3,"ID21",15347556,75978,70840,1,0
2015,0,14,4538444.3,"ID25",6906582,34191,31764,1,0
2016,0,14,4538462.3,"ID27",17997998,89099,86086,1,0
2017,0,14,4538463.3,"ID28",16688836,82618,80433,1,0
2018,0,14,4538464.3,"ID29",15960626,79013,74307,1,0
2019,0,14,4538466.3,"ID30",17304532,85666,84367,1,0
2020,0,14,4538467.3,"ID31",16524004,81802,79758,1,0
2021,0,14,4538468.3,"ID32",17196260,85130,82010,1,0
2022,0,14,4538469.3,"ID33",12993852,64326,58105,1,0
2023,0,14,4538470.3,"ID34",18694090,92545,88398,1,0
2024,0,14,4538471.3,"ID35",16878514,83557,82101,1,0
2025,0,14,4538472.3,"ID36",18545418,91809,88934,1,0
2026,0,14,4538473.3,"ID37",9708726,48063,46724,1,0
2027,0,14,4538474.3,"ID38",18287262,90531,87067,1,0
2028,0,14,4538475.3,"ID39",17722874,87737,84340,1,0
2029,0,14,4538477.3,"ID40",11546926,57163,55826,1,0
2030,0,14,4538478.3,"ID42",15980624,79112,77203,1,0
2031,0,14,4538479.3,"ID43",8295332,41066,39835,1,0
2032,0,14,4538480.3,"ID44",15000722,74261,72588,1,0
2033,0,14,4538481.3,"ID45",13358664,66132,62431,1,0
2034,0,14,4538482.3,"ID46",10252914,50757,48437,1,0
2035,0,14,4538483.3,"ID47",10536118,52159,50984,1,0
2036,0,14,4538484.3,"ID49",16587432,82116,75754,1,0
2037,0,14,4538486.3,"ID50",16435326,81363,77303,1,0
2038,0,14,4538487.3,"ID51",13729334,67967,65087,1,0
2039,0,14,4538488.3,"ID52",16262010,80505,76199,1,0
2040,0,14,4538489.3,"ID53",17910734,88667,84585,1,0
2041,0,14,4538490.3,"ID54",18165456,89928,87595,1,0
2042,0,14,4538491.3,"ID55",17459264,86432,84246,1,0
2043,0,14,4538492.3,"ID56",19168588,94894,85192,1,0
2044,0,14,4538493.3,"ID57",9024956,44678,41973,1,0
2045,0,14,4538494.3,"ID58",15040718,74459,61308,1,0
2046,0,14,4538495.3,"ID59",32399386,160393,152241,1,0
2047,0,14,4538497.3,"ID60",11344522,56161,55836,1,0
2048,0,14,4538498.3,"ID61",16847204,83402,79917,1,0
2049,0,14,4538499.3,"ID63",16351496,80948,70813,1,0
2050,0,14,4538500.3,"ID64",7581868,37534,34440,1,0
2051,0,14,4538503.3,"ID83",13267966,65683,62302,1,0
2052,0,14,4538504.3,"ID85",15815186,78293,72362,1,0
2053,0,14,4538505.3,"ID86",10769428,53314,52520,1,0
2054,0,14,4538506.3,"ID87",8239984,40792,39972,1,0
2055,0,14,4538507.3,"ID89",15052838,74519,70275,1,0
